"","ROI","pval","coef","adj_p","sign"
"1","meanCT",0.021231047196827,0.246744406636538,0.0849241887873082,"Non-signif"
"2","totalSA",0.00346469121900188,0.337014722394391,0.0138587648760075,"adj-p < 0.05"
"3","EstimatedTotalIntraCranialVol",0.128923249734371,0.184825880536684,0.515692998937483,"Non-signif"
"4","CSF",0.178919746972856,0.138853760886131,0.715678987891422,"Non-signif"
